tweet_id,tweet_text
836489990666244096,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836489994831200256,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836489999025524737,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490007418286080,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490007439364096,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490020030570496,@McLisseWorldPH si elisse lang po? Wala po si Mccoy? Hehehe pero okay na din... Chance ko na makita sya hehehe #TWBAElisse
836490066146938880,Bili na kayo ng notebook guys. https://t.co/LxO62vbl6k
836490074523062272,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490099705667585,RT @tharealversace: I'm sorry but HAHAHHAHAHAHAHAHHAHAHAHAH BITCH IM SCREAMINNNNGGGGGG https://t.co/dXQoOzmBGV
836490120693960704,@khvnyi closure yani?  Kuthi bakuncishile* 😂😂😂
836490129074089984,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490129053114368,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490158430023680,RT @Des_Aquino: May sakit na yan kasi pinapaso nya ng sigarilyo si Grace. #LBTraumaNiGrace https://t.co/xuWd2pK2vb
836490158409203712,Sana Gagraduate na lang ako ulit. Yung tipong after graduation mag aapply ka palang yung hindi ka pa nakakatikim... https://t.co/jerPbVaapB
836490200356282368,Ang gandang joke nito SOJ Aguirre.. parang buhok mo lang :3 https://t.co/r7DuU8HJ03
836490204546420736,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490217141895169,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490233944297472,HOY GUSTO KO NA MAG OUT AT MAKAKAIN NG SPAGHETTI TAS PANSIT.
836490246510510080,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490250687938560,RT @jochendria: So igop naman Daniel Ford. 😎 https://t.co/FY22w7leew
836490254886424576,RT @samsammy950: 4th urgghhh Ali Ray... uwi ka na samin https://t.co/7JEifxQBG5
836490267490312192,RT @juanmateomc: Ang inti noh?! #ALDUBxDTBYTadhana
836490267481919489,RT @soberanoise: grabe naman yung tinginan ni chot kay tessa❤  #KCAPinoyStar #LizaSoberano https://t.co/flI03N48OZ
836490267490316288,RT @soberanoise: grabe naman yung tinginan ni chot kay tessa❤  #KCAPinoyStar #LizaSoberano https://t.co/flI03N48OZ
836490284275945472,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490301019578368,@RobyyyG don't me!!! pag si chris brown nag-concert dito at wala kang naramdamang any post concert depression hu u ka sa'kin hahaha
836490309403987968,"2017--02-28--17-16-45EEW_data,https://t.co/GRNctPmq8p"
836490317792608256,RT @sarahjaneamil: Caring quen pahingi nang isang EnriqueGil hahahaha  #LizaSoberano #KCAPinoyStar https://t.co/gNhMa8VNuD
836490326189740033,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490330375540736,RT @jasmine_anikka: @Maichardology better pag nireplay...#ALDUBxDTBYTadhana
836490401695440896,Ang boring 😭😭
836490435258261504,Bakit mo nga ba ginagawa ang isang bagay ? — watching Weightlifting Fairy Kim Bok Joo 역도요정 김복주  - Korean Drama
836490439427444736,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490477184540673,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490477209804801,RT @erzonjohnlucer2: Ano na?😂😂 Gandang Filipina https://t.co/fVeWS4eT5N
836490502354554880,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836490506574032896,@philip145jhon @dwightabao @jaymonasil78 @jopetharabis30 kapoy na kayo diri bay grabe ka boring
836490510759927809,RT @ALDENophileCLUB: Ang bilis bumalik ng weight ni Gov from being hospitalized 'no?   Alagang Maine talaga e. 😌#DTBYArchitectBenjie https:…
836490510738964480,@joanneprada SCREAMIN HAHAHAHAHA
